"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"62","US20, 2 Mi W of Santiam Pass Summit, Delay &lt; 20min, Road maint ops are occurring, use caution.... http://t.co/I1in4ihzkl",FALSE,0,NA,2015-07-21 14:44:58,FALSE,NA,"623503942396149760",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"63","US20, from @ The Dalles - California Hwy US97 to 2 Mi S of @ The Dalles - California Hwy US97, Delay &lt; 20min, Pav... http://t.co/SId99oixhB",FALSE,0,NA,2015-07-21 09:04:47,FALSE,NA,"623418332159459328",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"64","US97, Bend, Unconfirmed, An unconfirmed report of hazardous debris has been received, use caution.... http://t.co/cyyd7cH6CT",FALSE,0,NA,2015-07-20 23:36:46,FALSE,NA,"623275386630049792",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"65","US97, Bend, On Ramp, Delay &lt; 20min, Road maint ops are occurring, use caution. Ramps Affected.... http://t.co/JZLb7byv4a",FALSE,0,NA,2015-07-20 21:18:41,FALSE,NA,"623240637798678528",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"66","US20, 2 Mi S of Tumalo, Unconfirmed, An unconfirmed report of a crash has been received, use caution.... http://t.co/3oQX12gdlG",FALSE,0,NA,2015-07-20 18:28:42,FALSE,NA,"623197859924422656",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"67","US20, Sisters, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/kSpaAwPg18",FALSE,0,NA,2015-07-19 20:44:57,FALSE,NA,"622869757331570688",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"68","US20, 1 Mi N of Bend, Delay 20min-2hrs, A crash has occurred, use caution.... http://t.co/OmYWVjxvtq",FALSE,0,NA,2015-07-16 10:42:45,FALSE,NA,"621631048292499456",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"69","US20, 1 Mi N of Bend, Closure w/ Detour, A crash has occurred closing the hwy w/ a detour. Nb traffic being detou... http://t.co/t17eeFZVeY",FALSE,0,NA,2015-07-16 06:18:41,FALSE,NA,"621564593878405120",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"70","US20, 1 Mi N of Bend, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/t17eeFZVeY",FALSE,0,NA,2015-07-16 06:06:45,FALSE,NA,"621561590144331776",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
"71","US20, @ N Santiam Hwy OR22, Delay &lt; 20min, A crash has occurred, use caution.... http://t.co/Sl730r3cXx",FALSE,0,NA,2015-07-16 01:32:45,FALSE,NA,"621492632867344384",NA,"<a href=""http://www.tripcheck.com"" rel=""nofollow"">ODOTRoadStatus</a>","TripCheckUS20B",0,FALSE,FALSE,NA,NA
